190.0.11.106,MKT_OXI40-MAICAO,GPON,WAYIRANET
172.16.99.48,R46_IDU-S,RICU 46,SW_RADW_R46
172.16.99.49,CAM_R46,RICU 46,CAM_R46-TORRE
172.16.99.61,R46_DATACOM,RICU 46,SW_DCOM_R46
172.16.99.63,R132_IDU-S,RICU 132,SW_RADW_R132
172.16.99.62,MKT_RICU132,RICU 132,TORRE_R132
172.16.99.64,CAM_R132,RICU 132,CAM_R132-TORRE
172.16.132.2,SECT-1,RICU 132,RADW-R132_SECT-1
172.16.132.3,SECT-2,RICU 132,RADW-R132_SECT-2
172.16.132.4,PTP-1,RICU 132,RADW-R132_PTP-1
172.16.132.5,PTP-2,RICU 132,RADW-R132_PTP-2
172.16.132.6,PTP-3,RICU 132,RADW-R132_PTP-3
172.16.132.7,PTP-4,RICU 132,RADW-R132_PTP-4
172.16.132.12,MKT_LA_ISLA,CC/RICU 132,RICU132|SECT-1
172.16.132.14,MKT_KOLOYOSU,CC/RICU 132,RICU132|SECT-2
172.16.132.16,MKT_NAZARETH,PAC/RICU 132,RICU132|SECT-1
172.16.132.18,MKT_WARALAMANA,PAC/RICU 132,RICU132|SECT-2
172.16.132.20,MKT_KANEWAKAK,PAC/RICU 132,RICU132|SECT-2
172.16.132.22,MKT_TOURETAKAK,PAC/RICU 132,RICU132|SECT-2
172.16.132.24,MKT_MANAMON PTP-1,PAC/RICU 132,RICU132|PTP'S
172.16.132.26,MKT_KACHELERAY_2,PAC/RICU 132,RICU132|SECT-2
172.16.132.28,MKT_LIMASIRA PTP-4,PAC/RICU 132,RICU132|PTP'S
172.16.132.30,MKT_KURILLAMANA,PAC/RICU 132,RICU132|SECT-2
172.16.132.32,MKT_SINAMAIKA,PAC/RICU 132,RICU132|SECT-2
172.16.132.34,MKT_ULUMACHIMANA PTP-2,PAC/RICU 132,RICU132|PTP'S
172.16.132.36,MKT_JAIMANA PTP-3,PAC/RICU 132,RICU132|PTP'S
172.16.170.2,SECT-1,RIMA 170,RADW-R170_SECT-1
172.16.170.3,SECT-2,RIMA 170,RADW-R170_SECT-2
172.16.170.4,SECT-3,RIMA 170,RADW-R170_SECT-3
172.16.170.5,SECT-4,RIMA 170,RADW-R170_SECT-4
172.16.170.6,PTP-1,MP RIMA 170-1,RADW-R170-1_PTP-1
172.16.170.8,170-1 SECT-1,MONOPOLO,RADW-R170-1_SECT-1
172.16.170.9,170-1 SECT-2,MONOPOLO,RADW-R170-1_SECT-2
172.16.170.10,170-1 SECT-3,MONOPOLO,RADW-R170-1_SECT-3
172.16.170.12,MKT_TALOHUMANA,CC/RIMA 170,RIMA170|SECT-2
172.16.170.14,MKT_EL_CORAL,CC/RIMA 170,RIMA170|SECT-2
172.16.170.16,MKT_MASHOU_2,CC/RIMA 170,RIMA170|SECT-2
172.16.170.18,MKT_ISHOPA,CC/RIMA 170-1,RIMA170-1
172.16.170.20,MKT_KALENTISUMANA,CC/RIMA 170-1,RIMA170-1
172.16.170.22,MKT_MASHOU_1,CC/RIMA 170,RIMA170|SECT-2
172.16.170.24,MKT_PALASUMANA,CC/RIMA 170,RIMA170|SECT-3
172.16.170.26,MKT_WASHINTONG,CC/RIMA 170,RIMA170|SECT-3
172.16.170.28,MKT_SAN_NICOLAS,CC/RIMA 170,RIMA170|SECT-3
172.16.170.30,MKT_YOSURU,CC/RIMA 170,RIMA170|SECT-2
172.16.170.32,MKT_KASUMANA,PAC/RIMA 170,RIMA170|SECT-1
172.16.170.34,MKT_LA_CRUZ,PAC/RIMA 170,RIMA170|SECT-4
172.16.170.36,MKT_CUTANAMA,PAC/RIMA 170,RIMA170|SECT-2
172.16.170.38,MKT_JEPCHON,PAC/RIMA 170,RIMA170|SECT-1
172.16.170.40,MKT_LOMAFRESCA,PAC/RIMA 170-1,RIMA170-1
172.16.170.42,MKT_MIRAFLORES,PAC/RIMA 170,RIMA170|SECT-3
172.16.170.44,MKT_OLONOKIAO,PAC/RIMA 170,RIMA170|SECT-4
172.16.170.46,MKT_WARRATUMANA,PAC/RIMA 170-1,RIMA170-1
172.16.170.48,MKT_KULINACHI,PAC/RIMA 170-1,RIMA170-1
172.16.170.50,MKT_MOUWASIRA,PAC/RIMA 170-1,RIMA170-1
172.16.170.52,MKT_UCA_SHAIN,PAC/RIMA 170-1,RIMA170-1
172.16.170.54,MKT_SANTANA,PAC/RIMA 170-1,RIMA170-1
172.16.170.56,MKT_PESUAPA,PAC/RIMA 170-1,RIMA170-1
172.16.170.58,MKT_WARAWARAO,PAC/RIMA 170-1,RIMA170-1
172.16.170.60,MKT_MUSUMANA,PAC/RIMA 170-1,RIMA170-1
192.168.90.168,RADWIN_CAM,CAM_G1,NPRI
